corrupt_text,correct_text,corruption
K1XYZ DE G4ZAA OK DR OM TNX FB QSO UR RST 579 579 OP AMY QTH LONDON RIG IS K3 RUNNING 100W ANT YAGI SO VY FB COPY HR AR G4ZAA DE DE K1XYZ K,K1XYZ DE G4ZAA OK DR OM TNX FB QSO UR RST 579 579 OP AMY QTH LONDON RIG IS K3 RUNNING 100W ANT YAGI SO VY FB COPY HR AR G4ZAA DE K1XYZ K,corrupt_duplicates
R FB COPY BUT QRM IS HEAVY PSE RPT UR NAME ES QTH SRI VY HI NOISE HR KN,R FB COPY BUT QRM IS HEAVY PSE RPT UR NAME ES QTH SRI VY HI NOISE HR KN,none
? OK ? OM RIG ? IS FT817 PWR ? ? IS ? HOMEBREW ? UP 10M HW ? ? AR K,R OK FR OM RIG HR IS FT817 PWR 5W ANT IS A HOMEBREW DIPOLE UP 10M HW CPY NW? AR K,corrupt_heavy
CQCQ CQ CQCQ DE DL2ABC DL2ABC K UR RST 579 579 HR FB WX TEMP 22C OP ALEX QTH COLOGNE HW CPY? K,CQ CQ CQ DE DL2ABC DL2ABC K UR RST 579 579 HR FB WX TEMP 22C OP ALEX QTH COLOGNE HW CPY? K,corrupt_timing_errors
CQ TEST DE K1XYZ K1XYZ TEST ? ? ? BK EE,CQ TEST DE K1XYZ K1XYZ TEST 599 001 MA BK EE,corrupt_question_marks
CQ CQ CQ DE PY2AA PY2AA K UR RST 5N 5N OP LUIS QTH SAO PAULO WX CLEAR TEMP 30C ANT BEAM HW CPY BK DE PY2AA K,CQ CQ CQ DE PY2AA PY2AA K UR RST 5NN 5NN OP LUIS QTH SAO PAULO WX CLEAR TEMP 30C ANT BEAM HW CPY BK DE PY2AA K,corrupt_timing_errors
RST 599 THX CU AR AR,RST 599 THX CU AR,corrupt_duplicates
PY2AA DE F5MZN R LUIS ?R SIGS 5NN HR OP PIERRE QTH PARIS RIG FT991 PWR 100W ANT WINDOM FB COPY TNX ? NEW DX AR F5MZN DEDE PY2AA K,PY2AA DE F5MZN R LUIS UR SIGS 5NN HR OP PIERRE QTH PARIS RIG FT991 PWR 100W ANT WINDOM FB COPY TNX FER NEW DX AR F5MZN DE PY2AA K,corrupt_combined
? 599 THX ? AR,RST 599 THX CU AR,corrupt_heavy
G4ZAA DE K1XYZ R ALL FB AMY TNX INF UR RST 5NN OP BOB QTH BOSTON WX SUNNY 25C SO ES CUL DR OM TU TU TU 73 SK K1XYZ DE G4ZAA K,G4ZAA DE K1XYZ R ALL FB AMY TNX INF UR RST 5NN OP BOB QTH BOSTON WX SUNNY 25C SO ES CUL DR OM TU 73 SK K1XYZ DE G4ZAA K,corrupt_duplicates
