filename,expected_text,source,noise_level,snr_db,original_file,split
Weather Report_clean.wav,WX WARM TEMP 25C K,generated,clean,inf,Weather Report.wav,train
Weather Report_low.wav,WX WARM TEMP 25C K,generated,low,20,Weather Report.wav,train
Weather Report_med.wav,WX WARM TEMP 25C K,generated,med,10,Weather Report.wav,train
Weather Report_high.wav,WX WARM TEMP 25C K,generated,high,5,Weather Report.wav,train
Morse_Prosign_-_Invitation_to_Transmit_clean.wav,K,downloaded,clean,inf,Morse_Prosign_-_Invitation_to_Transmit.oga,train
Morse_Prosign_-_Invitation_to_Transmit_low.wav,K,downloaded,low,20,Morse_Prosign_-_Invitation_to_Transmit.oga,train
Morse_Prosign_-_Invitation_to_Transmit_med.wav,K,downloaded,med,10,Morse_Prosign_-_Invitation_to_Transmit.oga,train
Morse_Prosign_-_Invitation_to_Transmit_high.wav,K,downloaded,high,5,Morse_Prosign_-_Invitation_to_Transmit.oga,train
Standard Distress_clean.wav,SOS SOS CQD DE BLN,generated,clean,inf,Standard Distress.wav,train
Standard Distress_low.wav,SOS SOS CQD DE BLN,generated,low,20,Standard Distress.wav,train
Standard Distress_med.wav,SOS SOS CQD DE BLN,generated,med,10,Standard Distress.wav,train
Standard Distress_high.wav,SOS SOS CQD DE BLN,generated,high,5,Standard Distress.wav,train
Station & Rig Breakdown_clean.wav,R OK FR OM RIG HR IS FT817 PWR 5W ANT IS A HOMEBREW DIPOLE UP 10M HW CPY NW? AR K,generated,clean,inf,Station & Rig Breakdown.wav,train
Station & Rig Breakdown_low.wav,R OK FR OM RIG HR IS FT817 PWR 5W ANT IS A HOMEBREW DIPOLE UP 10M HW CPY NW? AR K,generated,low,20,Station & Rig Breakdown.wav,train
Station & Rig Breakdown_med.wav,R OK FR OM RIG HR IS FT817 PWR 5W ANT IS A HOMEBREW DIPOLE UP 10M HW CPY NW? AR K,generated,med,10,Station & Rig Breakdown.wav,train
Station & Rig Breakdown_high.wav,R OK FR OM RIG HR IS FT817 PWR 5W ANT IS A HOMEBREW DIPOLE UP 10M HW CPY NW? AR K,generated,high,5,Station & Rig Breakdown.wav,train
Weather and Environmental Update_clean.wav,WX HR VY BAD HVY RAIN ES WIND BARO 995 MB ANT SWAYING A LOT SO QRU NW QRV QRX,generated,clean,inf,Weather and Environmental Update.wav,train
Weather and Environmental Update_low.wav,WX HR VY BAD HVY RAIN ES WIND BARO 995 MB ANT SWAYING A LOT SO QRU NW QRV QRX,generated,low,20,Weather and Environmental Update.wav,train
Weather and Environmental Update_med.wav,WX HR VY BAD HVY RAIN ES WIND BARO 995 MB ANT SWAYING A LOT SO QRU NW QRV QRX,generated,med,10,Weather and Environmental Update.wav,train
Weather and Environmental Update_high.wav,WX HR VY BAD HVY RAIN ES WIND BARO 995 MB ANT SWAYING A LOT SO QRU NW QRV QRX,generated,high,5,Weather and Environmental Update.wav,train
Final Sign-Off and Goodbyes to London_clean.wav,G4ZAA DE K1XYZ R ALL FB AMY TNX INF UR RST 5NN OP BOB QTH BOSTON WX SUNNY 25C SO ES CUL DR OM TU 73 SK K1XYZ DE G4ZAA K,generated,clean,inf,Final Sign-Off and Goodbyes to London.wav,train
Final Sign-Off and Goodbyes to London_low.wav,G4ZAA DE K1XYZ R ALL FB AMY TNX INF UR RST 5NN OP BOB QTH BOSTON WX SUNNY 25C SO ES CUL DR OM TU 73 SK K1XYZ DE G4ZAA K,generated,low,20,Final Sign-Off and Goodbyes to London.wav,train
Final Sign-Off and Goodbyes to London_med.wav,G4ZAA DE K1XYZ R ALL FB AMY TNX INF UR RST 5NN OP BOB QTH BOSTON WX SUNNY 25C SO ES CUL DR OM TU 73 SK K1XYZ DE G4ZAA K,generated,med,10,Final Sign-Off and Goodbyes to London.wav,train
Final Sign-Off and Goodbyes to London_high.wav,G4ZAA DE K1XYZ R ALL FB AMY TNX INF UR RST 5NN OP BOB QTH BOSTON WX SUNNY 25C SO ES CUL DR OM TU 73 SK K1XYZ DE G4ZAA K,generated,high,5,Final Sign-Off and Goodbyes to London.wav,train
Dealing with Local QRM (Interference)_clean.wav,R FB COPY BUT QRM IS HEAVY PSE RPT UR NAME ES QTH SRI VY HI NOISE HR KN,generated,clean,inf,Dealing with Local QRM (Interference).wav,train
Dealing with Local QRM (Interference)_low.wav,R FB COPY BUT QRM IS HEAVY PSE RPT UR NAME ES QTH SRI VY HI NOISE HR KN,generated,low,20,Dealing with Local QRM (Interference).wav,train
Dealing with Local QRM (Interference)_med.wav,R FB COPY BUT QRM IS HEAVY PSE RPT UR NAME ES QTH SRI VY HI NOISE HR KN,generated,med,10,Dealing with Local QRM (Interference).wav,train
Dealing with Local QRM (Interference)_high.wav,R FB COPY BUT QRM IS HEAVY PSE RPT UR NAME ES QTH SRI VY HI NOISE HR KN,generated,high,5,Dealing with Local QRM (Interference).wav,train
Final Closing of the Atlantic Circuit_clean.wav,F5MZN DE PY2AA R PIERRE ALL FB TNX FB QSO DR OM CUL ES 73 QRV FER NW DX TU SK PY2AA DE F5MZN CL,generated,clean,inf,Final Closing of the Atlantic Circuit.wav,train
Final Closing of the Atlantic Circuit_low.wav,F5MZN DE PY2AA R PIERRE ALL FB TNX FB QSO DR OM CUL ES 73 QRV FER NW DX TU SK PY2AA DE F5MZN CL,generated,low,20,Final Closing of the Atlantic Circuit.wav,train
Final Closing of the Atlantic Circuit_med.wav,F5MZN DE PY2AA R PIERRE ALL FB TNX FB QSO DR OM CUL ES 73 QRV FER NW DX TU SK PY2AA DE F5MZN CL,generated,med,10,Final Closing of the Atlantic Circuit.wav,train
Final Closing of the Atlantic Circuit_high.wav,F5MZN DE PY2AA R PIERRE ALL FB TNX FB QSO DR OM CUL ES 73 QRV FER NW DX TU SK PY2AA DE F5MZN CL,generated,high,5,Final Closing of the Atlantic Circuit.wav,train
